Concelho,Datahora,M,FG,Via,km,Natureza
V. N. Foz Côa,2011:05:03 09:25:00,0,1,R Eiras,,Atropelamento de peões
V. N. Foz Côa,2011:10:15 13:15:00,0,1,EN222,"196,400",Despiste simples
V. N. Foz Côa,2011:10:22 18:30:00,0,2,IP2,"58,500",Despiste simples
,,14,48,,,
Almeida,2011:04:10 11:30:00,0,1,Lugar dos Passos,Despiste c/capotamento
Almeida,2011:11:19 13:50:00,0,1,"A25193,200",Despiste s/dispositivo retenção
Celorico Beira,2011:07:30 19:50:00,0,1,"EN16155,500",Colisão lat.l c/ outro veíc. mov.
Celorico Beira,2011:08:06 10:40:00,0,1,R Bomb Voluntários,Atropelamento de peões
Celorico Beira,2011:08:22 09:30:00,1,0,"IP2115,600",Colisão tras. c/veíc.mov.
Celorico Beira,2011:10:06 17:45:00,1,0,Outra Via,Despiste c/capotamento
Fig.C. Rodrigo,2011:02:19 17:20:00,0,1,R Eiras-V Amargo,Despiste s/dispositivo retenção
Fig.C. Rodrigo,2011:05:05 10:50:00,0,1,Av Heróis C Rodrigo,Despiste c/col. c/veíc. imobil./ obst.
Fig.C. Rodrigo,2011:08:05 13:00:00,0,1,"EN221124,100",Despiste c/capotamento
Fornos Algodres,2011:02:04 23:40:00,0,1,"EN33030,350",Despiste simples
Gouveia,2011:01:03 18:00:00,0,1,"EN23220,600",Colisão lat.l c/ outro veíc. mov.
Gouveia,2011:03:07 16:50:00,1,0,Av D Manuel I,Colisão lat.l c/ outro veíc. mov.
Gouveia,2011:05:11 18:45:00,0,1,Av Cidade Covilhã,Colisão lat.l c/ outro veíc. mov.
Gouveia,2011:06:02 18:55:00,0,1,"EN23220,900",Colisão frontal
Gouveia,2011:09:02 04:30:00,0,1,"EN17117,700",Despiste c/capotamento
Gouveia,2011:10:22 15:00:00,0,2,R Sto António,Despiste c/capotamento
Guarda,2011:01:26 07:40:00,0,1,Av S Miguel,Atropelamento de peões
Guarda,2011:03:06 14:15:00,0,1,"EN2332,300",Colisão tras. c/veíc.mov.
Guarda,2011:03:24 15:56:00,0,1,"EM5773,550",Despiste simples
Guarda,2011:05:06 13:00:00,1,0,"EN221178,541",Colisão com outras situações
Guarda,2011:06:27 09:45:00,0,1,Lg Gen Humb Delgado,Atropelamento de peões
Guarda,2011:07:08 20:00:00,0,1,R Caminhos Ferro,Despiste s/dispositivo retenção
Guarda,2011:07:20 12:15:00,0,1,EM556,Despiste simples
Guarda,2011:07:26 09:10:00,0,1,Lg São João,Atropelamento de peões
Guarda,2011:10:21 05:10:00,1,0,"A25152,923",Despiste c/trans.disp.ret. lateral
Guarda,2011:11:06 06:00:00,0,1,Av Estádio Municipal,Atropelamento de peões
Guarda,2011:12:10 12:45:00,0,2,"EN2333,500",Colisão frontal
Guarda,2011:12:16 18:30:00,0,1,"A25157,329",Atropelamento de peões
Guarda,2011:12:19 17:15:00,0,1,"EN23279,200",Atropelamento de peões
Guarda,2011:12:28 13:45:00,1,0,"EN16183,080",Atropelamento de peões
Manteigas,2011:01:30 08:30:00,0,2,"EM5010,000",Despiste c/capotamento
Meda,2011:12:06 16:30:00,0,1,EM600,Colisão frontal
Pinhel,2011:01:25 17:35:00,0,1,"EM595-30,630",Despiste simples
Pinhel,2011:07:19 19:55:00,1,0,"EN226102,330",Despiste s/dispositivo retenção
Pinhel,2011:11:29 18:05:00,1,0,"EN226113,831",Atropelamento de peões
Sabugal,2011:06:05 04:50:00,0,2,"EN233-32,500",Colisão frontal
Sabugal,2011:07:11 04:00:00,1,0,"EN18-315,273",Despiste simples
Sabugal,2011:07:31 07:55:00,1,0,Av Ismael Mota,Atropelamento de peões
Sabugal,2011:08:27 21:30:00,0,1,"EN23327,750",Colisão lat.l c/ outro veíc. mov.
Seia,2011:02:07 16:58:00,0,1,R Silva Gaio,Colisão frontal
Seia,2011:04:10 05:15:00,0,1,"EN23128,590",Colisão frontal
Seia,2011:04:20 15:00:00,0,2,"EN23138,600",Colisão c/veic./obst.f. de rodagem
Seia,2011:05:01 23:50:00,1,1,Av Bomb Voluntários,Despiste c/capotamento
Seia,2011:07:01 17:36:00,0,1,"EN23137,700",Colisão frontal
Seia,2011:08:22 17:30:00,0,1,"EN23131,500",Colisão lat.l c/ outro veíc. mov.
Seia,2011:08:24 18:50:00,0,1,"EN1783,500",Colisão lat.l c/ outro veíc. mov.
Seia,2011:09:14 15:37:00,1,1,"EN1784,560",Colisão frontal
Seia,2011:11:23 18:30:00,1,0,"EN23138,100",Atropelamento de peões
Seia,2011:12:17 14:50:00,0,1,R Casal,Colisão frontal
Trancoso,2011:07:11 08:00:00,0,1,Estrada Municipal,Despiste simples
Trancoso,2011:09:06 18:10:00,1,0,EM591,Colisão tras. c/veíc.mov.
